"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Return to Shopping cart from Checkout:Information page","994","Check that Cancel button opens Your Cart page ","Sauce Demo RegressionTest","Thu Dec 12 17:23:10 GMT 2024","passed","Thu Dec 12 17:23:11 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","openShoppingCartByCancelButton"
"Negative login check","629","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 17:22:47 GMT 2024","passed","Thu Dec 12 17:22:48 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Open Products page using Continue Shopping button","607","Check that Continue Shopping opens Products page","Sauce Demo RegressionTest","Thu Dec 12 17:23:15 GMT 2024","passed","Thu Dec 12 17:23:16 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkContinueShoppingOpensProducts"
"Back Home button returns to Products Page","1258","Check that Products page is opened when clicking on Back Home button","Sauce Demo RegressionTest","Thu Dec 12 17:23:12 GMT 2024","passed","Thu Dec 12 17:23:13 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","openProductsPageUsingBackHome"
"Check thank you message is correct","1271","Check that Thank you message is shown after finishing checkout","Sauce Demo RegressionTest","Thu Dec 12 17:23:10 GMT 2024","passed","Thu Dec 12 17:23:12 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","checkThankYouMessage"
"Finish Checkout","1240","Check that Checkout: Complete! page is opened when clicking on Finish button","Sauce Demo RegressionTest","Thu Dec 12 17:23:05 GMT 2024","passed","Thu Dec 12 17:23:07 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","finishCheckout"
"Check positive login","777","Check positive login","Sauce Demo RegressionTest","Thu Dec 12 17:22:48 GMT 2024","passed","Thu Dec 12 17:22:49 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Invalid Checkout Info on Checkout: Information page","1143","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 17:23:05 GMT 2024","passed","Thu Dec 12 17:23:07 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Products Sorting Z to A","605","Check that products name are sorted descending","Sauce Demo RegressionTest","Thu Dec 12 17:22:52 GMT 2024","passed","Thu Dec 12 17:22:53 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortZtoA"
"Products Sorting A to Z","562","Check that products name are sorted ascending","Sauce Demo RegressionTest","Thu Dec 12 17:22:50 GMT 2024","passed","Thu Dec 12 17:22:50 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortAtoZ"
"Return to Products page from Checkout: Overview page ","1196","Check that Products page is opened when click on Cancel button","Sauce Demo RegressionTest","Thu Dec 12 17:23:09 GMT 2024","passed","Thu Dec 12 17:23:10 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","openProductsPage"
"Negative login check","1500","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 17:22:44 GMT 2024","passed","Thu Dec 12 17:22:45 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Option can be set in dropdown","1886","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 17:22:44 GMT 2024","passed","Thu Dec 12 17:22:46 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Products Sorting by price (low to high)","587","Check that products prices are sorted ascending","Sauce Demo RegressionTest","Thu Dec 12 17:22:51 GMT 2024","passed","Thu Dec 12 17:22:52 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceLowToHigh"
"Remove button appears for added to the cart product","499","Check that Remove button appears for added to the cart product","Sauce Demo RegressionTest","Thu Dec 12 17:23:04 GMT 2024","passed","Thu Dec 12 17:23:05 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemoveButtonAppears"
"Invalid Checkout Info on Checkout: Information page","1118","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 17:23:07 GMT 2024","passed","Thu Dec 12 17:23:08 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Quantity of added to the Cart product","548","Check that quantity of added products is correct in the shopping cart","Sauce Demo RegressionTest","Thu Dec 12 17:23:27 GMT 2024","passed","Thu Dec 12 17:23:28 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddedToTheCartProductQuantity"
"Valid Checkout Info on Checkout: Information page","1230","Check that Checkout: Overview page is opened","Sauce Demo RegressionTest","Thu Dec 12 17:23:12 GMT 2024","passed","Thu Dec 12 17:23:13 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","successfulCheckoutInfo"
"Add product to the cart","647","Check that product is added to the cart","Sauce Demo RegressionTest","Thu Dec 12 17:23:13 GMT 2024","passed","Thu Dec 12 17:23:14 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingProductToTheCart"
"Add products to the cart>remove products from the cart>check the cart is empty","10861","Add products to the cart>remove products from the cart>check the cart is empty","Sauce Demo RegressionTest","Thu Dec 12 17:23:28 GMT 2024","passed","Thu Dec 12 17:23:39 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkEndToEndCase"
"Product is displayed on Checkout: Overview page","1100","Check that product is displayed on page","Sauce Demo RegressionTest","Thu Dec 12 17:23:07 GMT 2024","passed","Thu Dec 12 17:23:08 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","checkAddedProduct"
"Invalid Checkout Info on Checkout: Information page","1110","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 17:23:09 GMT 2024","passed","Thu Dec 12 17:23:10 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Products Sorting by price (high to low)","581","Check that products prices are sorted descending","Sauce Demo RegressionTest","Thu Dec 12 17:22:51 GMT 2024","passed","Thu Dec 12 17:22:51 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceHighToLow"
"Remove product from cart","10607","Check that the product is removed from cart","Sauce Demo RegressionTest","Thu Dec 12 17:23:16 GMT 2024","passed","Thu Dec 12 17:23:27 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkRemovingProductFromCart"
"Option can be set in dropdown","726","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 17:22:47 GMT 2024","passed","Thu Dec 12 17:22:48 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Remove product using Remove button on Products page","10752","Check that Remove button delete added to the cart product","Sauce Demo RegressionTest","Thu Dec 12 17:22:53 GMT 2024","passed","Thu Dec 12 17:23:04 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemovingProductFromCart"
"Shopping badge value","655","Check that the value on shopping badge is correct","Sauce Demo RegressionTest","Thu Dec 12 17:23:39 GMT 2024","passed","Thu Dec 12 17:23:40 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkShoppingBadgeValue"
"Option can be set in dropdown","573","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 17:22:49 GMT 2024","passed","Thu Dec 12 17:22:49 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Option can be set in dropdown","667","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 17:22:46 GMT 2024","passed","Thu Dec 12 17:22:47 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Open Checkout page using Checkout button","600","Check that Checkout button opens Checkout page","Sauce Demo RegressionTest","Thu Dec 12 17:23:14 GMT 2024","passed","Thu Dec 12 17:23:15 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkCheckoutOpensCheckoutPage"
"Negative login check","624","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 17:22:46 GMT 2024","passed","Thu Dec 12 17:22:47 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
